foul_id,event_id,match,date,play_id,minute_raw,minute_num,period,foul_team,is_argentina,foul_player,fk_winner_player,fk_winner_team,fk_zone,x,y,text,carded,card_link_type,card_type,card_minute,card_player,l2_matched,l2_incident_ids,l2_claim_class,l2_n_sources,l2_consensus,l2_note,arg_uncarded_candidate
760456_49584427,760456,ARG-AUT GS,2026-06-22,49584427,90'+1',90.01,2,Austria,0,Patrick Wimmer,,,,9.4,15.9,Foul by Patrick Wimmer (Austria).,0,,,,,0,,,,,,0
760456_49584444,760456,ARG-AUT GS,2026-06-22,49584444,90'+2',90.02,2,Argentina,1,Leandro Paredes,Carney Chukwuemeka,Austria,attacking half,59.2,54.0,Carney Chukwuemeka (Austria) wins a free kick in the attacking half.,1,player_pm3,yellow-card,90'+2',Leandro Paredes,0,,,,,,0
760456_49584501,760456,ARG-AUT GS,2026-06-22,49584501,90'+7',90.07,2,Austria,0,Patrick Wimmer,,,,29.8,65.9,Foul by Patrick Wimmer (Austria).,0,,,,,0,,,,,,0
760456_49584502,760456,ARG-AUT GS,2026-06-22,49584502,90'+7',90.07,2,Austria,0,,Lionel Messi,Argentina,attacking half,70.6,33.8,Lionel Messi (Argentina) wins a free kick in the attacking half.,0,,,,,0,,,,,,0
760483_49645164,760483,JOR-ARG GS,2026-06-28,49645164,1',1.0,1,Argentina,1,Giuliano Simeone,,,,40.6,14.6,Foul by Giuliano Simeone (Argentina).,0,,,,,0,,,,,,1
760483_49645753,760483,JOR-ARG GS,2026-06-28,49645753,17',17.0,1,Jordan,0,Mohannad Abu Taha,,,,18.4,63.6,Foul by Mohannad Abu Taha (Jordan).,1,player_pm3,yellow-card,17',Mohannad Abu Taha,0,,,,,,0
760483_49646031,760483,JOR-ARG GS,2026-06-28,49646031,28',28.0,1,Jordan,0,,,,,6.0,49.2,Penalty conceded by Nizar Al Rashdan (Jordan) after a foul in the penalty area.,0,,,,,0,,,,,,0
760483_49646087,760483,JOR-ARG GS,2026-06-28,49646087,32',32.0,1,Argentina,1,Giovani Lo Celso,Ali Olwan,Jordan,right wing,49.8,88.6,Ali Olwan (Jordan) wins a free kick on the right wing.,0,,,,,0,,,,,,1
760483_49646100,760483,JOR-ARG GS,2026-06-28,49646100,33',33.0,1,Argentina,1,Exequiel Palacios,Odeh Fakhoury,Jordan,attacking half,45.4,23.8,Odeh Fakhoury (Jordan) wins a free kick in the attacking half.,0,,,,,0,,,,,,1
760483_49646135,760483,JOR-ARG GS,2026-06-28,49646135,34',34.0,1,Argentina,1,Nico Paz,Nizar Al Rashdan,Jordan,defensive half,69.7,76.0,Nizar Al Rashdan (Jordan) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760483_49646409,760483,JOR-ARG GS,2026-06-28,49646409,41',41.0,1,Jordan,0,Yazan Al Arab,,,,93.4,91.6,Foul by Yazan Al Arab (Jordan).,0,,,,,0,,,,,,0
760483_49646454,760483,JOR-ARG GS,2026-06-28,49646454,42',42.0,1,Argentina,1,Lautaro Martínez,Ali Azaizeh,Jordan,defensive half,72.2,77.0,Ali Azaizeh (Jordan) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760483_49646614,760483,JOR-ARG GS,2026-06-28,49646614,45'+2',45.02,1,Jordan,0,Odeh Fakhoury,,,,68.8,45.6,Foul by Odeh Fakhoury (Jordan).,0,,,,,0,,,,,,0
760483_49646644,760483,JOR-ARG GS,2026-06-28,49646644,45'+3',45.03,1,Jordan,0,Yazan Al Arab,,,,32.8,75.6,Foul by Yazan Al Arab (Jordan).,0,,,,,0,,,,,,0
760483_49646646,760483,JOR-ARG GS,2026-06-28,49646646,45'+3',45.03,1,Jordan,0,,Nico Paz,Argentina,attacking half,66.8,25.6,Nico Paz (Argentina) wins a free kick in the attacking half.,0,,,,,0,,,,,,0
760483_49646875,760483,JOR-ARG GS,2026-06-28,49646875,49',49.0,2,Argentina,1,Nicolás Tagliafico,Mousa Al Tamari,Jordan,defensive half,63.0,89.0,Mousa Al Tamari (Jordan) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760483_49646888,760483,JOR-ARG GS,2026-06-28,49646888,49',49.0,2,Jordan,0,Ali Olwan,,,,83.2,13.4,Foul by Ali Olwan (Jordan).,0,,,,,0,,,,,,0
760483_49647364,760483,JOR-ARG GS,2026-06-28,49647364,64',64.0,2,Jordan,0,Yazan Al Arab,,,,29.7,46.5,Foul by Yazan Al Arab (Jordan).,1,player_pm3,yellow-card,64',Yazan Al Arab,0,,,,,,0
760483_49647445,760483,JOR-ARG GS,2026-06-28,49647445,67',67.0,2,Jordan,0,Mahmoud Al Mardi,,,,47.2,65.3,Foul by Mahmoud Al Mardi (Jordan).,0,,,,,0,,,,,,0
760483_49647666,760483,JOR-ARG GS,2026-06-28,49647666,75',75.0,2,Argentina,1,Nicolás Otamendi,Mahmoud Al Mardi,Jordan,left wing,19.8,13.5,Mahmoud Al Mardi (Jordan) wins a free kick on the left wing.,0,,,,,0,,,,,,1
760483_49647773,760483,JOR-ARG GS,2026-06-28,49647773,79',79.0,2,Jordan,0,Amer Jamous,,,,27.8,51.0,Foul by Amer Jamous (Jordan).,0,,,,,0,,,,,,0
760483_49647931,760483,JOR-ARG GS,2026-06-28,49647931,85',85.0,2,Jordan,0,Ehsan Haddad,,,,96.8,20.8,Foul by Ehsan Haddad (Jordan).,0,,,,,0,,,,,,0
760483_49648053,760483,JOR-ARG GS,2026-06-28,49648053,88',88.0,2,Jordan,0,Husam Abu Dahab,,,,7.9,86.2,Foul by Husam Abu Dahab (Jordan).,0,,,,,0,,,,,,0
