event_id,match,minute_raw,minute_num,foul_team,is_argentina,foul_player,fk_zone,x,y,nearby_card_pm3,player_booked_in_match,text,play_id,priority_review
760500,ARG-CPV R32,40',40.0,Cape Verde,0,Deroy Duarte,,64.3,23.9,0,0,Foul by Deroy Duarte (Cabo Verde).,49687737,0
760500,ARG-CPV R32,42',42.0,Cape Verde,0,Deroy Duarte,,67.8,75.4,0,0,Foul by Deroy Duarte (Cabo Verde).,49687776,0
760500,ARG-CPV R32,43',43.0,Cape Verde,0,Diney Borges,,59.4,92.4,0,0,Foul by Diney Borges (Cabo Verde).,49687787,0
760500,ARG-CPV R32,68',68.0,Cape Verde,0,,attacking half,73.0,39.4,0,0,Lionel Messi (Argentina) wins a free kick in the attacking half.,49688265,0
760500,ARG-CPV R32,71',71.0,Cape Verde,0,Deroy Duarte,,20.4,35.6,0,0,Foul by Deroy Duarte (Cabo Verde).,49688326,0
760500,ARG-CPV R32,78',78.0,Cape Verde,0,Dailon Livramento,,87.0,83.0,0,0,Foul by Dailon Livramento (Cabo Verde).,49688350,0
760500,ARG-CPV R32,79',79.0,Cape Verde,0,Kevin Pina,,58.0,12.3,0,0,Foul by Kevin Pina (Cabo Verde).,49688366,0
760500,ARG-CPV R32,90'+4',90.04,Cape Verde,0,Jamiro Monteiro,,75.8,37.0,0,0,Foul by Jamiro Monteiro (Cabo Verde).,49688594,0
760500,ARG-CPV R32,90'+8',90.08,Cape Verde,0,Willy Semedo,,23.8,96.7,0,0,Foul by Willy Semedo (Cabo Verde).,49688637,0
760500,ARG-CPV R32,107',107.0,Cape Verde,0,Jamiro Monteiro,,26.2,71.6,0,0,Foul by Jamiro Monteiro (Cabo Verde).,49689253,0
760500,ARG-CPV R32,110',110.0,Cape Verde,0,Willy Semedo,,68.0,8.0,0,0,Foul by Willy Semedo (Cabo Verde).,49689336,0
760509,ARG-EGY R16,5',5.0,Argentina,1,Enzo Fernández,defensive half,60.3,83.6,0,0,Mohamed Salah (Egypt) wins a free kick in the defensive half.,49730788,1
760509,ARG-EGY R16,7',7.0,Argentina,1,Nicolás Tagliafico,,77.6,5.2,0,0,Foul by Nicolás Tagliafico (Argentina).,49730840,1
760509,ARG-EGY R16,11',11.0,Argentina,1,Enzo Fernández,defensive half,57.8,30.1,0,0,Karim Hafez (Egypt) wins a free kick in the defensive half.,49730907,1
760509,ARG-EGY R16,13',13.0,Argentina,1,Rodrigo De Paul,attacking half,39.2,48.7,0,0,Emam Ashour (Egypt) wins a free kick in the attacking half.,49730954,1
760509,ARG-EGY R16,21',21.0,Argentina,1,Cristian Romero,defensive half,60.4,6.6,0,0,Emam Ashour (Egypt) wins a free kick in the defensive half.,49731044,1
760509,ARG-EGY R16,23',23.0,Argentina,1,Lisandro Martínez,defensive half,41.4,22.0,0,0,Mohamed Salah (Egypt) wins a free kick in the defensive half.,49731075,1
760509,ARG-EGY R16,45',45.0,Argentina,1,Julián Alvarez,attacking half,55.8,74.2,0,0,Mohamed Salah (Egypt) wins a free kick in the attacking half.,49731396,1
760509,ARG-EGY R16,45'+2',45.02,Argentina,1,Julián Alvarez,defensive half,60.6,26.0,0,0,Ramy Rabia (Egypt) wins a free kick in the defensive half.,49731436,1
760509,ARG-EGY R16,46',46.0,Argentina,1,Lisandro Martínez,defensive half,56.3,16.4,0,0,Mohamed Salah (Egypt) wins a free kick in the defensive half.,49731511,1
760509,ARG-EGY R16,48',48.0,Argentina,1,Julián Alvarez,defensive half,96.6,47.0,0,0,Mostafa Shobeir (Egypt) wins a free kick in the defensive half.,49731548,1
760509,ARG-EGY R16,48',48.0,Argentina,1,Nicolás Tagliafico,defensive half,60.3,83.2,0,0,Haissem Hassan (Egypt) wins a free kick in the defensive half.,49731551,1
760509,ARG-EGY R16,87',87.0,Argentina,1,Nico González,defensive half,63.6,91.6,0,0,Omar Marmoush (Egypt) wins a free kick in the defensive half.,49732163,1
760509,ARG-EGY R16,90'+7',90.07,Argentina,1,Nico González,defensive half,72.0,93.6,0,0,Zizo (Egypt) wins a free kick in the defensive half.,49732287,1
760509,ARG-EGY R16,18',18.0,Egypt,0,Yasser Ibrahim,,60.2,14.2,0,0,Foul by Yasser Ibrahim (Egypt).,49731025,0
760509,ARG-EGY R16,19',19.0,Egypt,0,,,14.0,30.8,0,0,Penalty conceded by Haissem Hassan (Egypt) after a foul in the penalty area.,49731036,0
760509,ARG-EGY R16,30',30.0,Egypt,0,Marwan Attia,,32.2,43.4,0,1,Foul by Marwan Attia (Egypt).,49731162,0
760509,ARG-EGY R16,33',33.0,Egypt,0,Mohanad Lasheen,,74.8,20.3,0,0,Foul by Mohanad Lasheen (Egypt).,49731195,0
760509,ARG-EGY R16,44',44.0,Egypt,0,Marwan Attia,,38.2,78.9,0,1,Foul by Marwan Attia (Egypt).,49731385,0
760509,ARG-EGY R16,52',52.0,Egypt,0,Mohamed Salah,,29.6,31.6,0,0,Foul by Mohamed Salah (Egypt).,49731628,0
760509,ARG-EGY R16,55',55.0,Egypt,0,Hamdi Fathy,,28.6,75.2,0,1,Foul by Hamdi Fathy (Egypt).,49731691,0
760509,ARG-EGY R16,58',58.0,Egypt,0,Marwan Attia,,11.4,13.5,0,1,Foul by Marwan Attia (Egypt).,49731757,0
760509,ARG-EGY R16,64',64.0,Egypt,0,Mohamed Salah,,43.0,15.8,0,0,Foul by Mohamed Salah (Egypt).,49731820,0
760513,ARG-SUI QF,3',3.0,Argentina,1,Julián Alvarez,,73.0,3.4,0,0,Foul by Julián Alvarez (Argentina).,49769543,1
760513,ARG-SUI QF,13',13.0,Argentina,1,Cristian Romero,,52.8,15.1,0,0,Foul by Cristian Romero (Argentina).,49769859,1
760513,ARG-SUI QF,35',35.0,Argentina,1,Julián Alvarez,,22.8,4.6,0,0,Foul by Julián Alvarez (Argentina).,49770527,1
760513,ARG-SUI QF,36',36.0,Argentina,1,Leandro Paredes,,59.3,67.2,0,0,Foul by Leandro Paredes (Argentina).,49770564,1
760513,ARG-SUI QF,40',40.0,Argentina,1,Lisandro Martínez,,40.8,86.8,0,0,Foul by Lisandro Martínez (Argentina).,49770665,1
760513,ARG-SUI QF,42',42.0,Argentina,1,Leandro Paredes,,6.4,17.0,0,0,Foul by Leandro Paredes (Argentina).,49770693,1
760513,ARG-SUI QF,45',45.0,Argentina,1,Lisandro Martínez,,44.8,26.4,0,0,Foul by Lisandro Martínez (Argentina).,49770723,1
760513,ARG-SUI QF,48',48.0,Argentina,1,Nicolás Tagliafico,,30.6,92.1,0,0,Foul by Nicolás Tagliafico (Argentina).,49771073,1
760513,ARG-SUI QF,79',79.0,Argentina,1,Julián Alvarez,,53.0,7.9,0,0,Foul by Julián Alvarez (Argentina).,49771856,1
760513,ARG-SUI QF,90'+9',90.09,Argentina,1,Gonzalo Montiel,defensive half,12.1,67.0,0,0,Miro Muheim (Switzerland) wins a free kick in the defensive half.,49772249,1
760513,ARG-SUI QF,107',107.0,Argentina,1,Alexis Mac Allister,left wing,30.7,2.4,0,0,Miro Muheim (Switzerland) wins a free kick on the left wing.,49772582,1
760513,ARG-SUI QF,118',118.0,Argentina,1,José Manuel López,left wing,34.2,9.2,0,1,Ardon Jashari (Switzerland) wins a free kick on the left wing.,49772722,0
760513,ARG-SUI QF,1',1.0,Switzerland,0,Denis Zakaria,defensive half,93.2,5.1,0,0,Alexis Mac Allister (Argentina) wins a free kick in the defensive half.,49769481,0
760513,ARG-SUI QF,17',17.0,Switzerland,0,,defensive half,19.0,12.1,0,0,Rodrigo De Paul (Argentina) wins a free kick in the defensive half.,49770014,0
