event_id,match,date,play_id,minute_raw,period,foul_team,foul_player,fk_winner_player,fk_winner_team,fk_zone,x,y,text,play_text
760500,ARG-CPV R32,2026-07-03,49688032,53',2,Argentina,Thiago Almada,Steven Moreira,Cabo Verde,defensive half,69.9,90.2,Steven Moreira (Cabo Verde) wins a free kick in the defensive half.,Foul by Thiago Almada (Argentina).
760500,ARG-CPV R32,2026-07-03,49688127,58',2,Argentina,Cristian Romero,Laros Duarte,Cabo Verde,defensive half,55.4,25.1,Laros Duarte (Cabo Verde) wins a free kick in the defensive half.,Foul by Cristian Romero (Argentina).
760500,ARG-CPV R32,2026-07-03,49688265,68',2,Cape Verde,,Lionel Messi,Argentina,attacking half,73.0,39.4,Lionel Messi (Argentina) wins a free kick in the attacking half.,Lionel Messi (Argentina) wins a free kick in the attacking half.
760500,ARG-CPV R32,2026-07-03,49688326,71',2,Cape Verde,Deroy Duarte,,,,20.4,35.6,Foul by Deroy Duarte (Cabo Verde).,Lionel Messi (Argentina) wins a free kick in the attacking half.
760500,ARG-CPV R32,2026-07-03,49688345,77',2,Argentina,Alexis Mac Allister,Jamiro Monteiro,Cabo Verde,attacking half,32.6,38.4,Jamiro Monteiro (Cabo Verde) wins a free kick in the attacking half.,Foul by Alexis Mac Allister (Argentina).
760500,ARG-CPV R32,2026-07-03,49688350,78',2,Cape Verde,Dailon Livramento,,,,87.0,83.0,Foul by Dailon Livramento (Cabo Verde).,Cristian Romero (Argentina) wins a free kick in the defensive half.
760500,ARG-CPV R32,2026-07-03,49688366,79',2,Cape Verde,Kevin Pina,,,,58.0,12.3,Foul by Kevin Pina (Cabo Verde).,Enzo Fernández (Argentina) wins a free kick in the defensive half.
760500,ARG-CPV R32,2026-07-03,49688594,90'+4',2,Cape Verde,Jamiro Monteiro,,,,75.8,37.0,Foul by Jamiro Monteiro (Cabo Verde).,Lionel Messi (Argentina) wins a free kick in the attacking half.
760500,ARG-CPV R32,2026-07-03,49688599,90'+5',2,Argentina,Julián Alvarez,Vozinha,Cabo Verde,defensive half,4.6,50.2,Vozinha (Cabo Verde) wins a free kick in the defensive half.,Foul by Julián Alvarez (Argentina).
760500,ARG-CPV R32,2026-07-03,49688604,90'+6',2,Argentina,Nico González,Steven Moreira,Cabo Verde,attacking half,40.4,74.0,Steven Moreira (Cabo Verde) wins a free kick in the attacking half.,Foul by Nico González (Argentina).
760500,ARG-CPV R32,2026-07-03,49688637,90'+8',2,Cape Verde,Willy Semedo,,,,23.8,96.7,Foul by Willy Semedo (Cabo Verde).,Nicolás Tagliafico (Argentina) wins a free kick in the defensive half.
760500,ARG-CPV R32,2026-07-03,49689253,107',4,Cape Verde,Jamiro Monteiro,,,,26.2,71.6,Foul by Jamiro Monteiro (Cabo Verde).,Alexis Mac Allister (Argentina) wins a free kick in the attacking half.
760500,ARG-CPV R32,2026-07-03,49689336,110',4,Cape Verde,Willy Semedo,,,,68.0,8.0,Foul by Willy Semedo (Cabo Verde).,Nicolás Tagliafico (Argentina) wins a free kick in the defensive half.
760500,ARG-CPV R32,2026-07-03,49689475,115',4,Argentina,Gonzalo Montiel,Hélio Varela,Cabo Verde,left wing,12.4,18.4,Hélio Varela (Cabo Verde) wins a free kick on the left wing.,Foul by Gonzalo Montiel (Argentina).
760509,ARG-EGY R16,2026-07-07,49730788,5',1,Argentina,Enzo Fernández,Mohamed Salah,Egypt,defensive half,60.3,83.6,Mohamed Salah (Egypt) wins a free kick in the defensive half.,Foul by Enzo Fernández (Argentina).
760509,ARG-EGY R16,2026-07-07,49730840,7',1,Argentina,Nicolás Tagliafico,,,,77.6,5.2,Foul by Nicolás Tagliafico (Argentina).,Haissem Hassan (Egypt) wins a free kick on the right wing.
760509,ARG-EGY R16,2026-07-07,49730907,11',1,Argentina,Enzo Fernández,Karim Hafez,Egypt,defensive half,57.8,30.1,Karim Hafez (Egypt) wins a free kick in the defensive half.,Foul by Enzo Fernández (Argentina).
760509,ARG-EGY R16,2026-07-07,49730954,13',1,Argentina,Rodrigo De Paul,Emam Ashour,Egypt,attacking half,39.2,48.7,Emam Ashour (Egypt) wins a free kick in the attacking half.,Foul by Rodrigo De Paul (Argentina).
760509,ARG-EGY R16,2026-07-07,49731025,18',1,Egypt,Yasser Ibrahim,,,,60.2,14.2,Foul by Yasser Ibrahim (Egypt).,Julián Alvarez (Argentina) wins a free kick in the defensive half.
760509,ARG-EGY R16,2026-07-07,49731036,19',1,Egypt,,,,,14.0,30.8,Penalty conceded by Haissem Hassan (Egypt) after a foul in the penalty area.,Penalty Argentina. Nicolás Tagliafico draws a foul in the penalty area.
760509,ARG-EGY R16,2026-07-07,49731044,21',1,Argentina,Cristian Romero,Emam Ashour,Egypt,defensive half,60.4,6.6,Emam Ashour (Egypt) wins a free kick in the defensive half.,Foul by Cristian Romero (Argentina).
760509,ARG-EGY R16,2026-07-07,49731075,23',1,Argentina,Lisandro Martínez,Mohamed Salah,Egypt,defensive half,41.4,22.0,Mohamed Salah (Egypt) wins a free kick in the defensive half.,Foul by Lisandro Martínez (Argentina).
760509,ARG-EGY R16,2026-07-07,49731162,30',1,Egypt,Marwan Attia,,,,32.2,43.4,Foul by Marwan Attia (Egypt).,Alexis Mac Allister (Argentina) wins a free kick in the attacking half.
760509,ARG-EGY R16,2026-07-07,49731195,33',1,Egypt,Mohanad Lasheen,,,,74.8,20.3,Foul by Mohanad Lasheen (Egypt).,Julián Alvarez (Argentina) wins a free kick in the defensive half.
760509,ARG-EGY R16,2026-07-07,49731385,44',1,Egypt,Marwan Attia,,,,38.2,78.9,Foul by Marwan Attia (Egypt).,Lionel Messi (Argentina) wins a free kick in the attacking half.
760509,ARG-EGY R16,2026-07-07,49731396,45',1,Argentina,Julián Alvarez,Mohamed Salah,Egypt,attacking half,55.8,74.2,Mohamed Salah (Egypt) wins a free kick in the attacking half.,Foul by Julián Alvarez (Argentina).
760509,ARG-EGY R16,2026-07-07,49731436,45'+2',1,Argentina,Julián Alvarez,Ramy Rabia,Egypt,defensive half,60.6,26.0,Ramy Rabia (Egypt) wins a free kick in the defensive half.,Foul by Julián Alvarez (Argentina).
760509,ARG-EGY R16,2026-07-07,49731511,46',2,Argentina,Lisandro Martínez,Mohamed Salah,Egypt,defensive half,56.3,16.4,Mohamed Salah (Egypt) wins a free kick in the defensive half.,Foul by Lisandro Martínez (Argentina).
760509,ARG-EGY R16,2026-07-07,49731548,48',2,Argentina,Julián Alvarez,Mostafa Shobeir,Egypt,defensive half,96.6,47.0,Mostafa Shobeir (Egypt) wins a free kick in the defensive half.,Foul by Julián Alvarez (Argentina).
760509,ARG-EGY R16,2026-07-07,49731551,48',2,Argentina,Nicolás Tagliafico,Haissem Hassan,Egypt,defensive half,60.3,83.2,Haissem Hassan (Egypt) wins a free kick in the defensive half.,Foul by Nicolás Tagliafico (Argentina).
760509,ARG-EGY R16,2026-07-07,49731628,52',2,Egypt,Mohamed Salah,,,,29.6,31.6,Foul by Mohamed Salah (Egypt).,Leandro Paredes (Argentina) wins a free kick in the attacking half.
760509,ARG-EGY R16,2026-07-07,49731691,55',2,Egypt,Hamdi Fathy,,,,28.6,75.2,Foul by Hamdi Fathy (Egypt).,Lionel Messi (Argentina) wins a free kick in the attacking half.
760509,ARG-EGY R16,2026-07-07,49731757,58',2,Egypt,Marwan Attia,,,,11.4,13.5,Foul by Marwan Attia (Egypt).,Lisandro Martínez (Argentina) wins a free kick on the left wing.
760509,ARG-EGY R16,2026-07-07,49731820,64',2,Egypt,Mohamed Salah,,,,43.0,15.8,Foul by Mohamed Salah (Egypt).,Lisandro Martínez (Argentina) wins a free kick on the left wing.
760509,ARG-EGY R16,2026-07-07,49732163,87',2,Argentina,Nico González,Omar Marmoush,Egypt,defensive half,63.6,91.6,Omar Marmoush (Egypt) wins a free kick in the defensive half.,Foul by Nico González (Argentina).
760509,ARG-EGY R16,2026-07-07,49732199,89',2,Egypt,Karim Hafez,,,,26.2,92.2,Foul by Karim Hafez (Egypt).,Lautaro Martínez (Argentina) wins a free kick on the right wing.
760509,ARG-EGY R16,2026-07-07,49732287,90'+7',2,Argentina,Nico González,Zizo,Egypt,defensive half,72.0,93.6,Zizo (Egypt) wins a free kick in the defensive half.,Foul by Nico González (Argentina).
760509,ARG-EGY R16,2026-07-07,49732296,90'+8',2,Egypt,Marwan Attia,,,,46.7,65.8,Foul by Marwan Attia (Egypt).,Lautaro Martínez (Argentina) wins a free kick in the defensive half.
760513,ARG-SUI QF,2026-07-12,49769481,1',1,Switzerland,Denis Zakaria,Alexis Mac Allister,Argentina,defensive half,93.2,5.1,Alexis Mac Allister (Argentina) wins a free kick in the defensive half.,Foul by Denis Zakaria (Switzerland).
760513,ARG-SUI QF,2026-07-12,49769543,3',1,Argentina,Julián Alvarez,,,,73.0,3.4,Foul by Julián Alvarez (Argentina).,Ricardo Rodríguez (Switzerland) wins a free kick in the defensive half.
760513,ARG-SUI QF,2026-07-12,49769859,13',1,Argentina,Cristian Romero,,,,52.8,15.1,Foul by Cristian Romero (Argentina).,Breel Embolo (Switzerland) wins a free kick in the defensive half.
760513,ARG-SUI QF,2026-07-12,49770014,17',1,Switzerland,,Rodrigo De Paul,Argentina,defensive half,19.0,12.1,Rodrigo De Paul (Argentina) wins a free kick in the defensive half.,Rodrigo De Paul (Argentina) wins a free kick in the defensive half.
760513,ARG-SUI QF,2026-07-12,49770012,17',1,Switzerland,Ricardo Rodríguez,,,,81.4,88.4,Foul by Ricardo Rodríguez (Switzerland).,Foul by Ricardo Rodríguez (Switzerland).
760513,ARG-SUI QF,2026-07-12,49770160,22',1,Switzerland,Fabian Rieder,Nicolás Tagliafico,Argentina,defensive half,32.3,97.8,Nicolás Tagliafico (Argentina) wins a free kick in the defensive half.,Foul by Fabian Rieder (Switzerland).
760513,ARG-SUI QF,2026-07-12,49770170,23',1,Switzerland,Djibril Sow,Lisandro Martínez,Argentina,left wing,43.2,6.5,Lisandro Martínez (Argentina) wins a free kick on the left wing.,Foul by Djibril Sow (Switzerland).
