foul_id,event_id,match,minute_raw,minute_num,foul_team,is_argentina,foul_player,carded,n_opta_foul_lines_pm1,opta_snip,n_media_lines_pm2,media_sources,media_snip,has_media_narration
760456_49583505,760456,ARG-AUT GS,45',45.0,Argentina,1,Enzo Fernández,0,6,Romano Schmid (Austria) wins a free kick in the attacking half. || Foul by Alexis Mac Allister (Argentina). || Romano Schmid (Austria) wins a free kick in the attacking half.,0,,,0
760456_49583538,760456,ARG-AUT GS,45'+2',45.02,Argentina,1,Lautaro Martínez,0,4,Romano Schmid (Austria) wins a free kick in the attacking half. || Foul by Enzo Fernández (Argentina). || Konrad Laimer (Austria) wins a free kick on the left wing.,0,,,0
760456_49583724,760456,ARG-AUT GS,48',48.0,Austria,0,Xaver Schlager,0,2,Foul by Xaver Schlager (Austria). || Lionel Messi (Argentina) wins a free kick in the defensive half.,1,bbc,"[bbc] After only eight minutes, Argentina were awarded a penalty following Stefan Posch's foul on Lautaro ",1
760456_49583796,760456,ARG-AUT GS,52',52.0,Austria,0,Xaver Schlager,0,4,Foul by Xaver Schlager (Austria). || Lionel Messi (Argentina) wins a free kick in the attacking half. || Romano Schmid (Austria) wins a free kick in the defensive half.,1,bbc,"[bbc] After only eight minutes, Argentina were awarded a penalty following Stefan Posch's foul on Lautaro ",1
760456_49583806,760456,ARG-AUT GS,53',53.0,Argentina,1,Enzo Fernández,0,6,Foul by Xaver Schlager (Austria). || Lionel Messi (Argentina) wins a free kick in the attacking half. || Romano Schmid (Austria) wins a free kick in the defensive half.,1,guardian,"[guardian] 8.19pm
CEST
20:19
55 mins:
Yet another
Argentina
foul, yet another opportunity for the referee to gi",1
760456_49583823,760456,ARG-AUT GS,54',54.0,Argentina,1,Cristian Romero,0,4,Romano Schmid (Austria) wins a free kick in the defensive half. || Foul by Enzo Fernández (Argentina). || Konrad Laimer (Austria) wins a free kick in the attacking half.,1,guardian,"[guardian] 8.19pm
CEST
20:19
55 mins:
Yet another
Argentina
foul, yet another opportunity for the referee to gi",1
760456_49583862,760456,ARG-AUT GS,57',57.0,Austria,0,Paul Wanner,0,2,Foul by Paul Wanner (Austria). || Lautaro Martínez (Argentina) wins a free kick in the defensive half.,5,bbc|guardian,"[bbc] , substituted for N. Otamendi at 57 minutes || [bbc] , substituted for N. Otamendi at 57 minutes || [guardian] 8.24pm
CEST
20:24
59 mins:
The next goal determines the outcome of this game, without a doubt (again",1
760456_49584162,760456,ARG-AUT GS,75',75.0,Austria,0,Xaver Schlager,1,4,Foul by Xaver Schlager (Austria). || Enzo Fernández (Argentina) wins a free kick in the defensive half. || Foul by Konrad Laimer (Austria).,4,bbc|guardian,"[bbc] After only eight minutes, Argentina were awarded a penalty following Stefan Posch's foul on Lautaro  || [guardian] 8.41pm
CEST
20:41
77 mins:
There’s a bit of a scuffle between Facundo Medina and Konrad Laimer, who  || [guardian] 8.39pm
CEST
20:39
75 mins:
What’s the opposite of a classic? Whatever it is, this game fits into tha",1
760456_49584173,760456,ARG-AUT GS,76',76.0,Austria,0,Konrad Laimer,1,4,Foul by Xaver Schlager (Austria). || Enzo Fernández (Argentina) wins a free kick in the defensive half. || Foul by Konrad Laimer (Austria).,5,bbc|guardian,"[bbc] , substituted for P. Wimmer at 78 minutes || [bbc] , substituted for P. Wimmer at 78 minutes || [guardian] 8.42pm
CEST
20:42
78 mins:
I know there are a lot of Messi devotees out there, but the neutrals are ",1
760456_49584379,760456,ARG-AUT GS,88',88.0,Austria,0,Patrick Wimmer,0,4,Foul by Patrick Wimmer (Austria). || Nicolás Tagliafico (Argentina) wins a free kick in the defensive half. || Patrick Wimmer (Austria) wins a free kick on the left wing.,8,bbc|guardian,"[bbc] Goal 38 minutes, Goal 90 minutes plus 5 || [bbc] He is enjoying it and this is the best thing. I have seen him play World Cups where he couldn't last || [bbc] , Yellow Card at 90 minutes plus 2",1
760456_49584399,760456,ARG-AUT GS,89',89.0,Argentina,1,Nicolás Otamendi,1,4,Foul by Patrick Wimmer (Austria). || Nicolás Tagliafico (Argentina) wins a free kick in the defensive half. || Patrick Wimmer (Austria) wins a free kick on the left wing.,10,bbc|guardian,"[bbc] Goal 38 minutes, Goal 90 minutes plus 5 || [bbc] He is enjoying it and this is the best thing. I have seen him play World Cups where he couldn't last || [bbc] , Yellow Card at 90 minutes plus 2",1
760456_49584427,760456,ARG-AUT GS,90'+1',90.01,Austria,0,Patrick Wimmer,0,8,Foul by Patrick Wimmer (Austria). || Nico González (Argentina) wins a free kick on the left wing. || Carney Chukwuemeka (Austria) wins a free kick in the attacking half.,9,bbc|guardian,"[bbc] Goal 38 minutes, Goal 90 minutes plus 5 || [bbc] He is enjoying it and this is the best thing. I have seen him play World Cups where he couldn't last || [bbc] , Yellow Card at 90 minutes plus 2",1
760456_49584444,760456,ARG-AUT GS,90'+2',90.02,Argentina,1,Leandro Paredes,1,8,Foul by Patrick Wimmer (Austria). || Nico González (Argentina) wins a free kick on the left wing. || Carney Chukwuemeka (Austria) wins a free kick in the attacking half.,9,bbc|guardian,"[bbc] Goal 38 minutes, Goal 90 minutes plus 5 || [bbc] He is enjoying it and this is the best thing. I have seen him play World Cups where he couldn't last || [bbc] , Yellow Card at 90 minutes plus 2",1
760456_49584501,760456,ARG-AUT GS,90'+7',90.07,Austria,0,Patrick Wimmer,0,8,Foul by Patrick Wimmer (Austria). || Nico González (Argentina) wins a free kick on the left wing. || Carney Chukwuemeka (Austria) wins a free kick in the attacking half.,9,bbc|guardian,"[bbc] Goal 38 minutes, Goal 90 minutes plus 5 || [bbc] He is enjoying it and this is the best thing. I have seen him play World Cups where he couldn't last || [bbc] , Yellow Card at 90 minutes plus 2",1
760456_49584502,760456,ARG-AUT GS,90'+7',90.07,Austria,0,,0,8,Foul by Patrick Wimmer (Austria). || Nico González (Argentina) wins a free kick on the left wing. || Carney Chukwuemeka (Austria) wins a free kick in the attacking half.,9,bbc|guardian,"[bbc] Goal 38 minutes, Goal 90 minutes plus 5 || [bbc] He is enjoying it and this is the best thing. I have seen him play World Cups where he couldn't last || [bbc] , Yellow Card at 90 minutes plus 2",1
760483_49645164,760483,JOR-ARG GS,1',1.0,Argentina,1,Giuliano Simeone,0,2,Foul by Giuliano Simeone (Argentina). || Ali Olwan (Jordan) wins a free kick on the left wing.,0,,,0
760483_49645753,760483,JOR-ARG GS,17',17.0,Jordan,0,Mohannad Abu Taha,1,3,Foul by Mohannad Abu Taha (Jordan). || Giovani Lo Celso (Argentina) wins a free kick in the attacking half. || Mohannad Abu Taha (Jordan) is shown the yellow card for a bad foul.,1,bbc,[bbc] England will play DR Congo on Wednesday at 17:00 BST in Atlanta.,1
760483_49646031,760483,JOR-ARG GS,28',28.0,Jordan,0,,0,2,Penalty conceded by Nizar Al Rashdan (Jordan) after a foul in the penalty area. || Penalty Argentina. Marcos Senesi draws a foul in the penalty area.,0,,,0
760483_49646087,760483,JOR-ARG GS,32',32.0,Argentina,1,Giovani Lo Celso,0,4,Ali Olwan (Jordan) wins a free kick on the right wing. || Foul by Giovani Lo Celso (Argentina). || Odeh Fakhoury (Jordan) wins a free kick in the attacking half.,3,bbc,"[bbc] Lo Celso opens scoring with free-kick, Martinez doubles lead from spot before Al Tamari responds || [bbc] Giovani lo Celso free-kick puts Argentina in front in 19th minute || [bbc] Earlier, former Tottenham midfielder Giovani lo Celso had opened the scoring for a much-changed Arge",1
760483_49646100,760483,JOR-ARG GS,33',33.0,Argentina,1,Exequiel Palacios,0,6,Ali Olwan (Jordan) wins a free kick on the right wing. || Foul by Giovani Lo Celso (Argentina). || Odeh Fakhoury (Jordan) wins a free kick in the attacking half.,0,,,0
760483_49646135,760483,JOR-ARG GS,34',34.0,Argentina,1,Nico Paz,0,4,Odeh Fakhoury (Jordan) wins a free kick in the attacking half. || Foul by Exequiel Palacios (Argentina). || Nizar Al Rashdan (Jordan) wins a free kick in the defensive half.,0,,,0
760483_49646409,760483,JOR-ARG GS,41',41.0,Jordan,0,Yazan Al Arab,0,4,Foul by Yazan Al Arab (Jordan). || Exequiel Palacios (Argentina) wins a free kick in the defensive half. || Ali Azaizeh (Jordan) wins a free kick in the defensive half.,0,,,0
760483_49646454,760483,JOR-ARG GS,42',42.0,Argentina,1,Lautaro Martínez,0,4,Foul by Yazan Al Arab (Jordan). || Exequiel Palacios (Argentina) wins a free kick in the defensive half. || Ali Azaizeh (Jordan) wins a free kick in the defensive half.,0,,,0
760483_49646614,760483,JOR-ARG GS,45'+2',45.02,Jordan,0,Odeh Fakhoury,0,4,Foul by Odeh Fakhoury (Jordan). || Marcos Senesi (Argentina) wins a free kick in the defensive half. || Foul by Yazan Al Arab (Jordan).,4,bbc,"[bbc] , substituted for Mousa Al Tamari at 46 minutes || [bbc] , substituted for Mahmoud Al Mardi at 46 minutes || [bbc] , substituted for Mousa Al Tamari at 46 minutes",1
760483_49646644,760483,JOR-ARG GS,45'+3',45.03,Jordan,0,Yazan Al Arab,0,4,Foul by Odeh Fakhoury (Jordan). || Marcos Senesi (Argentina) wins a free kick in the defensive half. || Foul by Yazan Al Arab (Jordan).,4,bbc,"[bbc] , substituted for Mousa Al Tamari at 46 minutes || [bbc] , substituted for Mahmoud Al Mardi at 46 minutes || [bbc] , substituted for Mousa Al Tamari at 46 minutes",1
760483_49646646,760483,JOR-ARG GS,45'+3',45.03,Jordan,0,,0,4,Foul by Odeh Fakhoury (Jordan). || Marcos Senesi (Argentina) wins a free kick in the defensive half. || Foul by Yazan Al Arab (Jordan).,4,bbc,"[bbc] , substituted for Mousa Al Tamari at 46 minutes || [bbc] , substituted for Mahmoud Al Mardi at 46 minutes || [bbc] , substituted for Mousa Al Tamari at 46 minutes",1
