foul_id,event_id,match,minute_num,minute_raw,foul_player,is_argentina,carded,n_coverage_rows,n_country_families,country_families,n_under_carded_stance,has_multi_country_ge3,panel_incidents
760513_49772407,760513,ARG-SUI QF,98.0,98',Manuel Akanji,0,0,0,0,,0,0,
760513_49772476,760513,ARG-SUI QF,102.0,102',Zeki Amdouni,0,0,0,0,,0,0,
760513_49772478,760513,ARG-SUI QF,102.0,102',,0,0,0,0,,0,0,
760513_49772632,760513,ARG-SUI QF,110.0,110',Manuel Akanji,0,0,0,0,,0,0,
760515_49796310,760515,ENG-ARG SF,8.0,8',,0,0,0,0,,0,0,
760515_49796323,760515,ENG-ARG SF,9.0,9',Reece James,0,0,0,0,,0,0,
760515_49796343,760515,ENG-ARG SF,10.0,10',Elliot Anderson,0,0,0,0,,0,0,
760515_49796537,760515,ENG-ARG SF,21.0,21',Morgan Rogers,0,0,0,0,,0,0,
760515_49796562,760515,ENG-ARG SF,23.0,23',Jude Bellingham,0,0,0,0,,0,0,
760515_49796564,760515,ENG-ARG SF,23.0,23',,0,0,0,0,,0,0,
760515_49796628,760515,ENG-ARG SF,30.0,30',Anthony Gordon,0,0,0,0,,0,0,
760515_49797086,760515,ENG-ARG SF,53.0,53',Jude Bellingham,0,0,0,0,,0,0,
760515_49797339,760515,ENG-ARG SF,67.0,67',Morgan Rogers,0,0,0,0,,0,0,
760515_49797746,760515,ENG-ARG SF,90.09,90'+9',Jude Bellingham,0,0,0,0,,0,0,
760515_49797778,760515,ENG-ARG SF,90.12,90'+12',Dan Burn,0,0,0,0,,0,0,
760517_49878814,760517,ESP-ARG Final,2.0,2',Pedro Porro,0,0,0,0,,0,0,
760517_49878952,760517,ESP-ARG Final,8.0,8',Lamine Yamal,0,0,0,0,,0,0,
760517_49879065,760517,ESP-ARG Final,16.0,16',Álex Baena,0,0,0,0,,0,0,
760517_49879106,760517,ESP-ARG Final,20.0,20',Dani Olmo,0,0,0,0,,0,0,
760517_49879176,760517,ESP-ARG Final,24.0,24',Rodri,0,0,0,0,,0,0,
760517_49879277,760517,ESP-ARG Final,33.0,33',Rodri,0,0,0,0,,0,0,
760517_49879526,760517,ESP-ARG Final,45.03,45'+3',Mikel Oyarzabal,0,0,0,0,,0,0,
760517_49879630,760517,ESP-ARG Final,50.0,50',Álex Baena,0,0,0,0,,0,0,
760517_49879640,760517,ESP-ARG Final,51.0,51',Álex Baena,0,0,0,0,,0,0,
760517_49879672,760517,ESP-ARG Final,54.0,54',Pedro Porro,0,0,0,0,,0,0,
760517_49879678,760517,ESP-ARG Final,54.0,54',Álex Baena,0,0,0,0,,0,0,
760517_49880179,760517,ESP-ARG Final,90.01,90'+1',Ferran Torres,0,0,0,0,,0,0,
760517_49880188,760517,ESP-ARG Final,90.01,90'+1',Aymeric Laporte,0,0,0,0,,0,0,
760517_49880277,760517,ESP-ARG Final,92.0,92',Pedro Porro,0,0,0,0,,0,0,
760517_49880298,760517,ESP-ARG Final,93.0,93',Pedri,0,0,0,0,,0,0,
760517_49880352,760517,ESP-ARG Final,96.0,96',Mikel Merino,0,0,0,0,,0,0,
760517_49880534,760517,ESP-ARG Final,108.0,108',Lamine Yamal,0,0,0,0,,0,0,
760517_49880643,760517,ESP-ARG Final,114.0,114',Nico Williams,0,0,0,0,,0,0,
760517_49880697,760517,ESP-ARG Final,119.0,119',Nico Williams,0,0,0,0,,0,0,
760517_49880744,760517,ESP-ARG Final,120.04,120'+4',Eric García,0,0,0,0,,0,0,
760517_49880758,760517,ESP-ARG Final,120.05,120'+5',Marc Cucurella,0,0,0,0,,0,0,
760456_49584162,760456,ARG-AUT GS,75.0,75',Xaver Schlager,0,1,0,0,,0,0,
760456_49584173,760456,ARG-AUT GS,76.0,76',Konrad Laimer,0,1,0,0,,0,0,
760483_49645753,760483,JOR-ARG GS,17.0,17',Mohannad Abu Taha,0,1,0,0,,0,0,
760483_49647364,760483,JOR-ARG GS,64.0,64',Yazan Al Arab,0,1,0,0,,0,0,
760483_49648233,760483,JOR-ARG GS,90.04,90'+4',Mohammad Abu Zraiq,0,1,0,0,,0,0,
760500_49688265,760500,ARG-CPV R32,68.0,68',,0,1,0,0,,0,0,
760509_49732199,760509,ARG-EGY R16,89.0,89',Karim Hafez,0,1,0,0,,0,0,
760509_49732296,760509,ARG-EGY R16,90.08,90'+8',Marwan Attia,0,1,0,0,,0,0,
760513_49770709,760513,ARG-SUI QF,44.0,44',Breel Embolo,0,1,0,0,,0,0,
760513_49770745,760513,ARG-SUI QF,45.03,45'+3',Djibril Sow,0,1,0,0,,0,0,
760515_49796709,760515,ENG-ARG SF,37.0,37',Elliot Anderson,0,1,0,0,,0,0,
