event_id,match,date,minute,arg_fouls,opp_fouls,arg_cards,opp_cards,opta_lines,opta_foul_lines,opta_card_lines,media_lines,any_activity
760483,JOR-ARG GS,2026-06-28,62,0,0,0,0,0,0,0,0,0
760483,JOR-ARG GS,2026-06-28,63,0,0,0,0,0,0,0,0,0
760483,JOR-ARG GS,2026-06-28,64,0,1,0,1,3,3,1,0,1
760483,JOR-ARG GS,2026-06-28,65,0,0,0,0,1,1,0,0,1
760483,JOR-ARG GS,2026-06-28,66,0,0,0,0,0,0,0,0,0
760483,JOR-ARG GS,2026-06-28,67,0,1,0,0,2,2,0,0,1
760483,JOR-ARG GS,2026-06-28,68,0,0,0,0,1,0,0,0,1
760483,JOR-ARG GS,2026-06-28,69,0,0,0,0,0,0,0,0,0
760483,JOR-ARG GS,2026-06-28,70,0,0,0,0,1,0,0,0,1
760483,JOR-ARG GS,2026-06-28,71,0,0,0,0,1,0,0,0,1
760483,JOR-ARG GS,2026-06-28,72,0,0,0,0,0,0,0,0,0
760483,JOR-ARG GS,2026-06-28,73,0,0,0,0,0,0,0,0,0
760483,JOR-ARG GS,2026-06-28,74,0,0,0,0,0,0,0,0,0
760483,JOR-ARG GS,2026-06-28,75,1,0,0,0,2,2,0,0,1
760483,JOR-ARG GS,2026-06-28,76,0,0,0,0,1,0,0,0,1
760483,JOR-ARG GS,2026-06-28,77,0,0,0,0,0,0,0,0,0
760483,JOR-ARG GS,2026-06-28,78,0,0,0,0,0,0,0,0,0
760483,JOR-ARG GS,2026-06-28,79,0,1,0,0,2,2,0,0,1
760483,JOR-ARG GS,2026-06-28,80,0,0,0,0,1,1,0,0,1
760483,JOR-ARG GS,2026-06-28,81,0,0,0,0,0,0,0,0,0
760483,JOR-ARG GS,2026-06-28,82,0,0,0,0,2,0,0,0,1
760483,JOR-ARG GS,2026-06-28,83,0,0,0,0,0,0,0,0,0
760483,JOR-ARG GS,2026-06-28,84,0,0,0,0,0,0,0,0,0
760483,JOR-ARG GS,2026-06-28,85,0,1,0,0,2,2,0,0,1
760483,JOR-ARG GS,2026-06-28,86,0,0,0,0,2,0,0,0,1
760483,JOR-ARG GS,2026-06-28,87,0,0,0,0,2,0,0,0,1
760483,JOR-ARG GS,2026-06-28,88,0,1,0,0,2,2,0,0,1
760483,JOR-ARG GS,2026-06-28,89,0,0,0,0,1,0,0,0,1
760483,JOR-ARG GS,2026-06-28,90,0,1,0,1,11,3,1,0,1
760483,JOR-ARG GS,2026-06-28,91,0,0,0,0,0,0,0,0,0
760483,JOR-ARG GS,2026-06-28,92,0,0,0,0,0,0,0,0,0
760483,JOR-ARG GS,2026-06-28,93,0,0,0,0,0,0,0,0,0
760483,JOR-ARG GS,2026-06-28,94,0,0,0,0,0,0,0,0,0
760483,JOR-ARG GS,2026-06-28,95,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,0,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,1,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,2,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,3,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,4,1,0,0,0,2,2,0,0,1
760500,ARG-CPV R32,2026-07-03,5,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,6,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,7,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,8,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,9,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,10,1,0,0,0,2,2,0,0,1
760500,ARG-CPV R32,2026-07-03,11,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,12,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,13,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,14,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,15,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,16,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,17,0,2,0,0,2,2,0,0,1
760500,ARG-CPV R32,2026-07-03,18,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,19,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,20,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,21,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,22,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,23,0,0,0,0,0,0,0,0,0
