event_id,match,minute,arg_fouls,opp_fouls,arg_cards,opp_cards,fouls_with_media_families,media_coverage_rows,any_event
760517,ESP-ARG Final,73,0,0,0,0,0,0,0
760517,ESP-ARG Final,74,0,0,0,0,0,0,0
760517,ESP-ARG Final,75,0,0,0,0,0,0,0
760517,ESP-ARG Final,76,1,0,0,0,1,1,1
760517,ESP-ARG Final,77,0,0,0,0,0,0,0
760517,ESP-ARG Final,78,0,0,0,0,0,0,0
760517,ESP-ARG Final,79,0,0,0,0,0,0,0
760517,ESP-ARG Final,80,0,0,0,0,0,0,0
760517,ESP-ARG Final,81,1,0,0,0,0,0,1
760517,ESP-ARG Final,82,0,0,1,0,0,0,1
760517,ESP-ARG Final,83,0,0,0,0,0,0,0
760517,ESP-ARG Final,84,1,0,0,0,0,0,1
760517,ESP-ARG Final,85,0,0,0,0,0,0,0
760517,ESP-ARG Final,86,0,0,0,0,0,0,0
760517,ESP-ARG Final,87,0,0,0,0,0,0,0
760517,ESP-ARG Final,88,0,0,0,0,0,0,0
760517,ESP-ARG Final,89,0,0,0,0,0,0,0
760517,ESP-ARG Final,90,2,2,2,0,1,1,1
760517,ESP-ARG Final,91,0,0,0,0,0,0,0
760517,ESP-ARG Final,92,0,1,0,0,0,0,1
760517,ESP-ARG Final,93,0,1,0,0,0,0,1
760517,ESP-ARG Final,94,1,0,0,0,0,0,1
760517,ESP-ARG Final,95,0,0,0,0,0,0,0
760517,ESP-ARG Final,96,0,1,0,0,0,0,1
760517,ESP-ARG Final,97,0,0,0,0,0,0,0
760517,ESP-ARG Final,98,0,0,0,0,0,0,0
760517,ESP-ARG Final,99,0,0,0,0,0,0,0
760517,ESP-ARG Final,100,1,0,0,0,0,0,1
760517,ESP-ARG Final,101,0,0,0,0,0,0,0
760517,ESP-ARG Final,102,0,0,0,0,0,0,0
760517,ESP-ARG Final,103,0,0,0,0,0,0,0
760517,ESP-ARG Final,104,0,0,0,0,0,0,0
760517,ESP-ARG Final,105,2,0,0,0,0,0,1
760517,ESP-ARG Final,106,0,0,0,0,0,0,0
760517,ESP-ARG Final,107,0,0,0,0,0,0,0
760517,ESP-ARG Final,108,0,1,0,0,0,0,1
760517,ESP-ARG Final,109,0,0,0,0,0,0,0
760517,ESP-ARG Final,110,0,0,0,0,0,0,0
